iter	Passed	Remaining
403	9559	7003
404	9581	6979
405	9604	6954
406	9624	6928
407	9648	6905
408	9668	6878
409	9690	6854
410	9715	6831
411	9741	6809
412	9765	6786
413	9788	6762
414	9819	6743
415	9844	6720
416	9870	6698
417	9892	6674
418	9911	6647
419	9933	6622
420	9953	6596
421	9976	6572
422	9996	6546
423	10017	6521
424	10038	6495
425	10060	6470
426	10081	6445
427	10102	6420
428	10120	6393
429	10141	6368
430	10160	6341
431	10182	6316
432	10201	6290
433	10221	6265
434	10241	6238
435	10261	6213
436	10280	6186
437	10300	6161
438	10319	6135
439	10340	6110
440	10358	6083
441	10379	6058
442	10397	6032
443	10418	6006
444	10437	5980
445	10457	5955
446	10476	5929
447	10496	5904
448	10516	5878
449	10537	5854
450	10558	5829
451	10580	5805
452	10600	5779
453	10620	5754
454	10640	5729
455	10660	5704
456	10680	5678
457	10701	5654
458	10720	5628
459	10740	5603
460	10760	5578
461	10780	5553
462	10798	5527
463	10820	5503
464	10838	5477
465	10859	5453
466	10879	5428
467	10901	5404
468	10919	5378
469	10940	5354
470	10960	5328
471	10981	5304
472	11000	5279
473	11021	5254
474	11040	5229
475	11061	5205
476	11081	5180
477	11102	5156
478	11121	5131
479	11141	5106
480	11161	5081
481	11182	5057
482	11202	5032
483	11224	5009
484	11244	4984
485	11265	4960
486	11286	4936
487	11308	4912
488	11330	4889
489	11353	4865
490	11375	4842
491	11398	4818
492	11419	4794
493	11441	4770
494	11459	4746
495	11482	4722
496	11501	4697
497	11524	4674
498	11543	4649
499	11567	4627
500	11590	4603
501	11612	4580
502	11631	4555
503	11652	4531
504	11671	4506
505	11693	4483
506	11711	4458
507	11732	4434
508	11752	4409
509	11772	4385
510	11792	4361
511	11813	4337
512	11831	4312
513	11852	4288
514	11871	4264
515	11893	4241
516	11912	4216
517	11934	4193
518	11954	4169
519	11976	4145
520	11995	4121
521	12016	4097
522	12035	4073
523	12056	4049
524	12075	4025
525	12097	4001
526	12116	3977
527	12137	3953
528	12156	3929
529	12177	3906
530	12197	3882
531	12219	3858
532	12239	3834
533	12260	3811
534	12279	3786
535	12300	3763
536	12319	3739
537	12342	3716
538	12361	3692
539	12382	3668
540	12404	3645
541	12426	3622
542	12446	3598
543	12470	3575
544	12489	3552
545	12512	3529
546	12533	3505
547	12556	3482
548	12576	3459
549	12599	3436
550	12621	3412
551	12642	3389
552	12661	3365
553	12684	3342
554	12706	3319
555	12728	3296
556	12748	3273
557	12770	3249
558	12790	3226
559	12811	3202
560	12830	3179
561	12852	3155
562	12872	3132
563	12894	3109
564	12913	3085
565	12935	3062
566	12954	3038
567	12976	3015
568	12995	2991
569	13018	2969
570	13037	2945
571	13058	2922
572	13078	2898
573	13100	2875
574	13119	2852
575	13140	2828
576	13161	2805
577	13183	2782
578	13202	2759
579	13225	2736
580	13245	2712
581	13267	2689
582	13287	2666
583	13310	2643
584	13330	2620
585	13353	2597
586	13374	2574
587	13397	2551
588	13417	2528
589	13438	2505
590	13457	2482
591	13481	2459
592	13502	2436
593	13525	2413
594	13544	2390
595	13566	2367
596	13585	2343
597	13606	2320
598	13627	2297
599	13650	2275
600	13671	2252
601	13693	2229
602	13713	2205
603	13735	2183
604	13754	2159
605	13776	2136
606	13798	2114
607	13822	2091
608	13843	2068
609	13866	2045
610	13888	2023
611	13914	2000
612	13934	1977
613	13956	1954
614	13977	1931
615	14000	1909
616	14020	1885
617	14043	1863
618	14063	1840
619	14085	1817
620	14105	1794
621	14128	1771
622	14147	1748
623	14168	1725
624	14190	1702
625	14228	1681
626	14248	1658
627	14270	1636
628	14290	1613
629	14312	1590
630	14329	1566
631	14350	1544
632	14370	1521
633	14391	1498
634	14411	1475
635	14432	1452
636	14452	1429
637	14475	1406
638	14497	1383
639	14519	1361
640	14540	1338
641	14562	1315
642	14582	1292
643	14604	1269
644	14623	1246
645	14644	1224
646	14664	1201
647	14686	1178
648	14707	1155
649	14730	1133
650	14749	1110
651	14770	1087
652	14789	1064
653	14811	1041
654	14831	1018
655	14852	996
656	14872	973
657	14894	950
658	14914	927
659	14937	905
660	14959	882
