iter	Logloss
0	0.6853479204
1	0.6786773743
2	0.6731058623
3	0.6666869999
4	0.6598812892
5	0.6547138231
6	0.6492066852
7	0.6446489864
8	0.6390555626
9	0.6346592189
10	0.6293674027
11	0.624261192
12	0.6206294111
13	0.6165928427
14	0.6125962731
15	0.6095425673
16	0.6059062537
17	0.6025571434
18	0.5980644616
19	0.5942540997
20	0.591345115
21	0.588394464
22	0.5840380265
23	0.5810805128
24	0.5767224209
25	0.5741725424
26	0.5717898285
27	0.5692086977
28	0.5670650589
29	0.5641253633
30	0.5618930045
31	0.5586300542
32	0.556396164
33	0.5536880934
34	0.5507882932
35	0.5489535233
36	0.5467447184
37	0.5447314303
38	0.5431327832
39	0.5412009399
40	0.5384600664
41	0.5359386237
42	0.5340974657
43	0.5313946508
44	0.5301348937
45	0.5289606227
46	0.527399013
47	0.5260852647
48	0.5247272368
49	0.5231986879
50	0.5218686944
51	0.5207202527
52	0.5194715422
53	0.518248388
54	0.5164847149
55	0.5155503887
56	0.5145522102
57	0.5137555699
58	0.5117281412
59	0.5096561534
60	0.508645792
61	0.507306361
62	0.5062940669
63	0.5046747258
64	0.5032463179
65	0.5023065139
66	0.5012276891
67	0.5004303181
68	0.4996224451
69	0.4987895111
70	0.4981314346
71	0.4975503196
72	0.4967656155
73	0.4953350016
74	0.4946839327
75	0.4932659481
76	0.4926772246
77	0.4918890603
78	0.4911852428
79	0.490535661
80	0.4891713361
81	0.488186358
82	0.4874366419
83	0.4864980798
84	0.484689384
85	0.4839965278
86	0.4832677506
87	0.4825918009
88	0.4819796483
89	0.4811641266
90	0.4799437188
91	0.4791719833
92	0.4782807303
93	0.47637868
94	0.4745926656
95	0.473978892
96	0.4731535101
97	0.4725170307
98	0.4719511034
99	0.4711117194
100	0.4706151369
101	0.4701942816
102	0.469791151
103	0.46866298
104	0.4677837698
105	0.4664695352
106	0.4659295095
107	0.4653982606
108	0.4648776527
109	0.4638811258
110	0.4632790028
111	0.4627871269
112	0.4621622992
113	0.4614294959
114	0.4604362668
115	0.459970147
116	0.4592959121
117	0.4588720202
118	0.4584483568
119	0.458089721
120	0.456669826
121	0.4562238236
122	0.4558079721
123	0.4554031388
124	0.4551061311
125	0.4547655074
126	0.4541053241
127	0.453698461
128	0.4533382573
129	0.452925552
130	0.4524302047
131	0.4514751005
132	0.4511112472
133	0.4507351865
134	0.4503845774
135	0.4500018617
136	0.4496381246
137	0.4492966687
138	0.4489115333
139	0.4486156115
140	0.4480463812
141	0.4476346757
142	0.4473028412
143	0.4465117278
144	0.4461878223
145	0.445872081
146	0.4455582433
147	0.4452681572
148	0.4449432258
149	0.4446530765
150	0.4444373403
151	0.4432122563
152	0.4428480837
153	0.4421329086
154	0.4408307821
155	0.4404566333
156	0.4398977956
157	0.4393663344
158	0.4388323978
159	0.4385535832
160	0.4382270533
161	0.4377536231
162	0.4373812123
163	0.4370185872
164	0.4367255211
165	0.4362067558
166	0.4359375286
167	0.4357077294
168	0.4354617327
169	0.4352651043
170	0.4350358456
171	0.4347857123
172	0.4345790183
173	0.4338473595
174	0.43359921
175	0.4331007897
176	0.4327690388
177	0.4324274322
178	0.4321734177
179	0.4318971406
180	0.4316635183
181	0.4313875644
182	0.431175317
183	0.4303346852
184	0.4300647229
185	0.429502645
186	0.4292434895
187	0.4290033893
188	0.4285793752
189	0.4283470925
190	0.4280010496
191	0.4277950266
192	0.4275282124
193	0.4273174251
194	0.426526276
195	0.4261353545
196	0.4258134349
197	0.425010759
198	0.4246320129
199	0.4243575279
200	0.4241641393
201	0.4239233433
202	0.4236914092
203	0.4234781305
204	0.4228462086
205	0.4226517274
206	0.422450973
207	0.4221446989
208	0.4217974689
209	0.4214876946
210	0.4211775441
211	0.4206653072
212	0.4203326105
213	0.420093303
214	0.4198539641
215	0.4196297242
216	0.4194130685
217	0.41893534
218	0.418745254
219	0.4183313822
220	0.4180668486
221	0.4175047777
222	0.4173007892
223	0.4167475468
224	0.4165926198
225	0.416375948
226	0.4157651847
227	0.4150451974
228	0.4148417349
229	0.4146337875
230	0.4144153636
231	0.4140927277
232	0.4139449569
233	0.4137778705
234	0.4135719062
235	0.4129996295
236	0.4125614635
237	0.4121686164
238	0.4119846294
239	0.4117759656
240	0.4116077431
241	0.411423359
242	0.4111343362
243	0.4107186623
244	0.4105510252
245	0.4103420739
246	0.4101733219
247	0.4097272637
248	0.409475913
249	0.4092772848
250	0.4091288451
251	0.4089763783
252	0.4088132259
253	0.4085894773
254	0.4083743138
255	0.4081792242
256	0.4080549722
257	0.407845664
258	0.4074650163
259	0.40700967
260	0.4067945627
261	0.4066320906
262	0.4064688942
263	0.4061548372
264	0.4060005945
265	0.405654577
266	0.4054118901
267	0.4048649889
268	0.4046996394
269	0.4044993597
270	0.4039367563
271	0.4037019092
272	0.4034864928
273	0.4032136929
274	0.4030065334
275	0.4028269185
276	0.4024700944
277	0.4021546395
278	0.401983525
279	0.4015128585
280	0.4012676157
281	0.4010857033
282	0.4009319523
283	0.4007603451
284	0.4005867589
285	0.4003280442
286	0.4001128331
287	0.3999598647
288	0.3997239952
289	0.3995508083
290	0.399363067
291	0.3990419686
292	0.3989029846
293	0.3987625633
294	0.398355488
295	0.3980975898
296	0.3979767887
297	0.3977829054
298	0.3976269634
299	0.3973842296
300	0.3972144143
301	0.3970442279
302	0.3968838972
303	0.3964312255
304	0.3962187132
305	0.3958993905
306	0.3957222541
307	0.3953313871
308	0.3951791204
309	0.3950235029
310	0.3948431391
311	0.3945561124
312	0.3944102031
313	0.3942631852
314	0.3940682557
315	0.3938783202
316	0.3937038317
317	0.3935157741
318	0.3932868809
319	0.3930911654
320	0.392974452
321	0.3928405933
322	0.3925357446
323	0.3923762795
324	0.3922104978
325	0.3920102799
326	0.3917434887
327	0.3914459024
328	0.3912848442
329	0.3911307261
330	0.3910267469
331	0.390873457
332	0.3907222394
333	0.3905484904
334	0.3903695503
335	0.3902358329
336	0.3900443195
337	0.3896355551
338	0.3894874826
339	0.3893525992
340	0.3892068979
341	0.3890432856
342	0.3889056614
343	0.3887287052
344	0.3885790237
345	0.3884251891
346	0.3883012417
347	0.3881158336
348	0.387989743
349	0.3878622708
350	0.3875380155
351	0.3873936496
352	0.3870336214
353	0.386934549
354	0.386675311
355	0.3864668221
356	0.3862749482
357	0.3861599153
358	0.3860176099
359	0.3858242422
360	0.3856912205
361	0.3854938273
362	0.3853598704
363	0.3851409562
364	0.3850220775
365	0.3848772646
366	0.3847075909
367	0.3843239268
368	0.3842550876
369	0.3841087937
370	0.3837017171
371	0.3833624938
372	0.3832085174
373	0.3830734996
374	0.3826884292
375	0.3823781817
376	0.3822452229
377	0.3821585812
378	0.3819606481
379	0.3818526433
380	0.3815780797
381	0.3814689136
382	0.3813278639
383	0.3811765746
384	0.3807420956
385	0.380623255
386	0.3804667304
387	0.3803616829
388	0.3801748225
389	0.38002456
390	0.3797075093
391	0.3795932438
392	0.3794676926
393	0.3793357673
394	0.3791224352
395	0.3789695565
396	0.3787171325
397	0.3785896766
398	0.3784960822
399	0.378374964
400	0.3782243581
401	0.3780857045
402	0.377858216
403	0.377595446
404	0.377446986
405	0.3771813479
406	0.3770502966
407	0.3766116673
408	0.3764814247
409	0.3763456481
410	0.3759604898
411	0.375736241
412	0.3756036669
413	0.3754609476
414	0.3753567844
415	0.3752343336
416	0.3750967569
417	0.3749731734
418	0.3748605859
419	0.3747252262
420	0.3745512429
421	0.374434472
422	0.3742937889
423	0.3741835746
424	0.3738984202
425	0.3737578932
426	0.3735839749
427	0.3734204374
428	0.373092488
429	0.3729602304
430	0.3728185528
431	0.372687214
432	0.3724672246
433	0.3723386248
434	0.3721132234
435	0.3718726946
436	0.3717329757
437	0.3716342285
438	0.3714151706
439	0.3708788651
440	0.370745755
441	0.3706291936
442	0.370428779
443	0.370292175
444	0.3701378128
445	0.3700019815
446	0.369911165
447	0.3698277266
448	0.3697019269
449	0.3695976164
450	0.3694553499
451	0.3693035513
452	0.3691961673
453	0.3689502446
454	0.3688133982
455	0.3686709193
456	0.3685608822
457	0.368430749
458	0.3680447908
459	0.3679248581
460	0.3677102138
461	0.3676137046
462	0.3674903847
463	0.3671879289
464	0.366962066
465	0.3668252054
466	0.3666642936
467	0.3664720449
468	0.3663759352
469	0.3662587535
470	0.3661216962
471	0.365982355
472	0.3658194535
473	0.3656743375
474	0.3655537037
475	0.3653263138
476	0.3650385999
477	0.3647669592
478	0.364651845
479	0.3645496984
480	0.364416889
481	0.3642627298
482	0.3641080292
483	0.3638717534
484	0.3636957039
485	0.3635911375
486	0.363282563
487	0.3630570794
488	0.3627891119
489	0.3625705555
490	0.3623895079
491	0.3622311301
492	0.3620939551
493	0.3619240018
494	0.3617808635
495	0.3616529346
496	0.3613462065
497	0.361222924
498	0.3610863737
499	0.3609620675
500	0.3607484613
501	0.3606013412
502	0.3605020803
503	0.3603700899
504	0.3601839794
505	0.3600824211
506	0.3599933578
507	0.3596783331
508	0.3595706394
509	0.3594507557
510	0.3593249099
511	0.3591608449
512	0.3590380218
513	0.3589319011
514	0.358776548
515	0.3586481082
516	0.3585205046
517	0.3583842079
518	0.3582624104
519	0.3580813594
520	0.3579890701
521	0.3578504322
522	0.3576897883
523	0.3574685395
524	0.3573555007
525	0.3571198159
526	0.3569907798
527	0.3568568853
528	0.3566264206
529	0.3564750119
530	0.3561892721
531	0.3560546828
532	0.3559409174
533	0.3558096545
534	0.3556677477
535	0.3555422407
536	0.3554206578
537	0.3552021836
538	0.3550565536
539	0.3549451762
540	0.3548063826
541	0.354688199
542	0.3544505557
543	0.3541214813
544	0.3540330253
545	0.3539108986
546	0.3537309255
547	0.3535283198
548	0.3533705481
549	0.3532288857
550	0.3530184451
551	0.3528157405
552	0.3527121027
553	0.3525555209
554	0.3523087129
555	0.3521430243
556	0.3520201344
557	0.351887212
558	0.3517227925
559	0.3516194579
560	0.3514304526
561	0.351194483
562	0.3509547773
563	0.3508301744
564	0.3507176177
565	0.3505058258
566	0.3503748215
567	0.3502440884
568	0.3500285163
569	0.3498109396
570	0.3496441475
571	0.3495168457
572	0.3492758454
573	0.3490870004
574	0.348738276
575	0.3485443656
576	0.3483129098
577	0.3481766607
578	0.3480540656
